2018-07-30 11:21:00.409 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:01.409 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:02.41 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:03.41 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:04.411 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:05.411 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:06.411 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:07.412 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:08.413 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:09.413 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:10.414 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:11.414 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:12.415 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:13.415 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:14.415 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:15.417 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:16.417 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:17.43 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:18.431 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:19.431 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:20.432 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:21.432 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:22.432 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:23.433 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:24.433 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:25.433 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:26.433 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:27.434 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:28.434 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:29.437 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:30.437 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:31.437 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:32.437 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:33.438 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:34.439 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:35.439 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:36.439 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:37.44 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:38.44 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:39.44 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:40.441 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:41.441 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:42.442 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:43.442 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:44.443 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:45.443 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:46.443 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:47.444 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:48.444 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:49.445 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:50.445 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:51.445 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:52.445 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:53.446 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:54.446 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:55.447 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:56.447 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:57.448 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:58.448 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:21:59.448 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:00.449 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:01.45 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:02.45 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:03.45 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:04.45 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:05.451 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:06.451 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:07.451 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:08.452 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:09.452 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:10.452 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:11.453 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:12.453 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:13.453 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:14.453 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:15.454 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:16.454 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:17.455 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:18.455 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:19.455 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:20.456 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:21.456 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:22.456 DEBUG (main.go:main.Run:26) user server is running
2018-07-30 11:22:23.456 DEBUG (main.go:main.Run:26) user server is running
